company,condition,street,type,code,code_name,total_cnt,amt,new_cnt,loss_cnt
동중한합회,1,서울특별시 중랑구 신내동,1,999999,BIZ_NO미존재사업장,204,53898640,1,0
동부제일병원,1,서울특별시 중랑구 망우동,1,851101,요양병원,205,49304080,5,6
용성전기(주),1,경기도 광주시 곤지암읍,1,321000,기타 반도체 소자 제조업,100,27174420,0,0
(주)서양네트웍스,1,서울특별시 강남구 청담동,1,181201,가죽의복 제조업,418,97606040,10,16
(주)비트컴퓨터,1,서울특별시 서초구 서초동,1,722000,응용 소프트웨어 개발 및 공급업,136,39753320,0,0
아진교통(주),1,서울특별시 도봉구 도봉동,1,602103,시내버스 운송업,207,75171780,0,0
(유)삼송,1,서울특별시 서초구 양재동,1, ,,168,55024080,0,1
(주)한국경제신문,1,서울특별시 중구 중림동,1,221200,잡지 및 정기 간행물 발행업,505,187673700,2,6
(주) 매일경제신문사,1,서울특별시 중구 필동1가,1,222102,스크린 인쇄업,763,232048360,13,17
한국아이비엠(주),1,서울특별시 영등포구 여의도동,1,515050,컴퓨터 및 주변장치  소프트웨어 도매업,1279,516241720,10,30
한국후지쯔(주),1,서울특별시 종로구 종로1가,1,722000,응용 소프트웨어 개발 및 공급업,182,74060900,0,2
한국관광공사,1,강원도 원주시 반곡동,1,701201,비주거용 건물 임대업(점포  자기땅),684,259007400,15,3
코리아나호텔(주),1,서울특별시 중구 태평로1가,1, ,,115,30427200,2,1
KB증권(주),1,서울특별시 영등포구 여의도동,1,671202,증권 중개업,2782,1155577820,28,36
보광교통(주),1,서울특별시 은평구 수색동,1,602103,시내버스 운송업,122,41627620,0,2
(재)CBS,1,서울특별시 양천구 목동,1,921301,라디오 방송업,349,134115680,1,7
보령제약(주),1,서울특별시 종로구 원남동,1,242301,완제 의약품 제조업,1343,502619260,16,16
한국방송광고진흥공사,1,서울특별시 중구 태평로1가,1,743002,광고 대행업,302,122612520,1,2
대한지방행정공제회,1,서울특별시 용산구 한강로2가,1,701201,비주거용 건물 임대업(점포  자기땅),127,50451360,0,0
범양건영(주),1,부산광역시 동구 초량동,1,451101,아파트 건설업,161,59621980,3,2
삼육서울병원,1,서울특별시 동대문구 휘경동,1,851101,요양병원,969,265049500,23,18
알보젠코리아(주),1,서울특별시 영등포구 여의도동,1,242301,완제 의약품 제조업,473,192609860,5,8
재단법인 한국농촌경제연구원,1,전라남도 나주시 빛가람동,1,730000,기타 인문 및 사회과학 연구개발업,292,98482020,10,5
동일석유(주),1,서울특별시 송파구 가락동,1,514121,액체 연료 및 관련제품 도매업,180,47754820,7,5
북부운수(주),1,서울특별시 중랑구 면목동,1,602103,시내버스 운송업,431,150306100,3,5
(주)신도리코,1,서울특별시 성동구 성수동2가,1,300202,사무용 기계 및 장비 제조업,611,234894040,1,72
SDA삼육외국어학원,1,서울특별시 동대문구 휘경동,1,809005,일반 교과학원,150,27355480,1,12
삼양식품(주),1,서울특별시 성북구 하월곡동,1,154400,면류  마카로니 및 유사 식품 제조업,367,110050100,16,5
제일여객자동차(주),1,서울특별시 은평구 진관동,1,602103,시내버스 운송업,246,83862360,0,3
청구성심병원,1,서울특별시 은평구 갈현동,1,851101,요양병원,305,78405580,6,12
삼진제약(주),1,서울특별시 마포구 서교동,1,242301,완제 의약품 제조업,711,288635980,4,7
(주)풍농,1,서울특별시 마포구 마포동,1,241200,복합비료 및 기타 화학비료 제조업,195,76677540,1,1
두원이에프씨(주),1,서울특별시 강남구 역삼동,1,452104,배관 및 냉ㆍ난방 공사업,181,67670100,2,7
김포교통(주),1,서울특별시 강서구 방화동,1,602103,시내버스 운송업,269,93580700,0,3
중부운수(주),1,서울특별시 양천구 신월동,1,602204,시내버스 운송업 / 시외버스 운송업,326,112498360,0,2
(주)모나리자,1,서울특별시 동작구 신대방동,1,210903,위생용 종이제품 제조업,101,31120100,3,2
서울외국인학교,1,서울특별시 서대문구 연희동,1,999999,BIZ_NO미존재사업장,333,122991480,1,1
유한회사동원아이엔씨,1,서울특별시 서대문구 홍은동,1,551001,호텔업,242,64984140,0,9
삼성여객자동차(주),1,서울특별시 서초구 염곡동,1,602103,시내버스 운송업,196,68532240,0,1
한국예탁결제원,1,부산광역시 남구 문현동,1,671900,그 외 기타 금융 지원 서비스업,692,288239520,0,2
(주)청우하이드로,1,인천광역시 서구 경서동,1,291200,유압 기기 제조업,112,34694080,1,0
서울시립대학교(총무과),1,서울특별시 동대문구 전농동,1,701201,비주거용 건물 임대업(점포  자기땅),197,38694700,6,10
의료법인 삼광의료재단,1,서울특별시 서초구 양재동,1,851907,그 외 기타 보건업,224,58310640,0,6
KB오토시스(주),1,충청남도 아산시 음봉면,1,343000,그 외 자동차용 신품 부품 제조업,201,68450840,0,3
한성운수(주),1,서울특별시 강북구 번동,1,602103,시내버스 운송업,431,154595360,0,6
상진운수(주),1,서울특별시 성북구 석관동,1,602204,시내버스 운송업 / 시외버스 운송업,177,61477280,1,1
진아교통(주),1,서울특별시 노원구 월계동,1,602103,시내버스 운송업,158,55105680,2,1
교보정보통신(주),1,서울특별시 종로구 내수동,1,515050,컴퓨터 및 주변장치  소프트웨어 도매업,281,89937440,5,0
삼화페인트공업(주),1,경기도 안산시 단원구 성곡동,1,242204,일반용 도료 및 관련제품 제조업,871,328464140,6,16
흥안운수(주),1,서울특별시 노원구 상계동,1,602103,시내버스 운송업,304,105345980,4,7
도원교통(주),1,서울특별시 성북구 정릉동,1,602103,시내버스 운송업,297,97221060,7,4
환인제약(주),1,서울특별시 송파구 문정동,1,242301,완제 의약품 제조업,473,166098020,15,9
(주)삼구아이앤씨,1,서울특별시 중구 수표동,1,749300,건축물 일반 청소업,10285,2505258400,243,346
현대교통(주),1,서울특별시 서대문구 홍은동,1,602204,시내버스 운송업 / 시외버스 운송업,127,42232140,1,3
서부운수(주),1,서울특별시 서대문구 북가좌동,1,602103,시내버스 운송업,140,47791580,0,4
신인운수(주),1,서울특별시 금천구 가산동,1,602103,시내버스 운송업,167,59047620,0,2
(주)푸른상호저축은행,1,서울특별시 서초구 잠원동,1,659202,신용조합,100,36215160,0,0
한국소방산업기술원,1,경기도 용인시 기흥구 지곡동,1,742201,기타 기술 시험  검사 및 분석업,278,93944720,1,6
진양제약(주),1,서울특별시 서초구 서초동,1,242301,완제 의약품 제조업,188,54083700,3,8
정보통신정책연구원,1,충청북도 진천군 덕산읍,1,742104,기타 엔지니어링 서비스업,168,62954960,6,4
경성여객(주),1,서울특별시 중랑구 면목동,1,602204,시내버스 운송업 / 시외버스 운송업,167,54576660,0,5
(주)서울가든,1,서울특별시 마포구 도화동,1,551001,호텔업,137,37498940,0,2
(재)한국기계전기전자시험연구원,1,경기도 군포시 금정동,1, ,,583,218330760,8,6
사회복지법인홀트아동복지회,1,서울특별시 마포구 합정동,1,851201,일반의원,101,29759700,0,2
신길운수(주),1,서울특별시 양천구 신월동,1,602204,시내버스 운송업 / 시외버스 운송업,267,89567540,0,1
영인운수(주),1,서울특별시 강서구 외발산동,1,602204,시내버스 운송업 / 시외버스 운송업,190,64801260,0,5
대한약품공업(주),1,서울특별시 영등포구 양평동4가,1,242301,완제 의약품 제조업,661,217871220,4,7
동성제약(주),1,서울특별시 도봉구 방학동,1,242301,완제 의약품 제조업,184,55009820,3,8
영신여객자동차(주),1,서울특별시 강북구 우이동,1,602103,시내버스 운송업,117,39192440,0,3
진화운수(주),1,서울특별시 송파구 장지동,1,602103,시내버스 운송업,308,110502420,3,5
삼양식품(주)익산공장,1,전라북도 익산시 모현동2가,1,154400,면류  마카로니 및 유사 식품 제조업,267,70255500,6,6
(주)선진운수,1,서울특별시 은평구 구산동,1,602103,시내버스 운송업,616,208603840,9,4
신성교통(주),1,경기도 파주시 교하동,1,630701,시내버스 운송업 / 시외버스 운송업 / 택시 운송업,335,87356420,2,13
(주)한국로슈,1,서울특별시 서초구 서초동,1,242301,완제 의약품 제조업,303,126510300,10,4
재단법인한국에스지아이,1,서울특별시 구로구 구로동,1, ,,162,47761380,0,1
(주)금성출판사,1,서울특별시 마포구 공덕동,1,940908,서적외판원 학습지방문판매원 화장품외판원 정수기 자,348,87457900,6,6
(주)수석,1,경기도 안양시 만안구 박달동,1,289901,금속선 가공제품 제조업,234,79529260,3,1
(주)콤텍시스템,1,서울특별시 영등포구 대림동,1,322002,유선 통신장비 제조업,447,139956380,32,15
(주)팬코,1,서울특별시 강서구 등촌동,1,181201,가죽의복 제조업,243,83466320,1,13
삼화상운(주),1,서울특별시 노원구 상계동,1,602103,시내버스 운송업,213,75485000,3,4
대진여객(주),1,서울특별시 성북구 정릉동,1,602103,시내버스 운송업,418,146799720,2,11
동아운수(주),1,서울특별시 강북구 수유동,1,602204,시내버스 운송업 / 시외버스 운송업,482,170646200,1,6
삼양교통(주),1,서울특별시 강북구 우이동,1,602103,시내버스 운송업,165,58431100,1,3
선일교통(주),1,서울특별시 강북구 수유동,1,602204,시내버스 운송업 / 시외버스 운송업,147,48454020,2,7
현대오일뱅크(주),1,서울특별시 중구 남대문로5가,1,232100,원유 정제처리업,725,305577380,32,7
신촌교통(주),1,서울특별시 서대문구 남가좌동,1,602103,시내버스 운송업,190,66576960,0,0
(주)코스탯아이앤씨,1,서울특별시 마포구 연남동,1,321000,기타 반도체 소자 제조업,168,54085680,0,3
한솔PNS(주) ITS부문,1,서울특별시 마포구 상암동,1,319001,운송장비용 조명장치 제조업,130,47571740,0,1
공항버스(주),1,서울특별시 강서구 개화동,1,602103,시내버스 운송업,182,62413680,0,0
일신화학공업(주),1,경기도 안산시 단원구 성곡동,1,252102,플라스틱 필름 제조업,219,83754900,0,2
(주)우신시스템,1,경기도 시흥시 정왕동,1,292202,금속 절삭기계 제조업,206,74422640,1,0
에너지경제연구원,1,울산광역시 중구 성안동,1,742104,기타 엔지니어링 서비스업,170,59544980,0,6
동양화공기계(주),1,경기도 파주시 문산읍,1,291200,유압 기기 제조업,134,42523220,1,1
오로라월드(주),1,서울특별시 강남구 대치동,1,749901,문서 작성업,137,38636120,2,6
서울장애인종합복지관,1,서울특별시 강동구 고덕동,1,924302,볼링장 운영업,108,27659680,1,0
현대종합금속(주),1,서울특별시 강남구 삼성동,1,271902,그 외 기타 1차 철강 제조업,215,78248040,0,1
한국농수산식품유통공사,1,전라남도 나주시 빛가람동,1,512112,곡물 및 유지작물 도매업,876,308167800,9,11
한국광물자원공사,1,강원도 원주시 반곡동,1,742104,기타 엔지니어링 서비스업,459,184120140,0,3
한국교육개발원,1,충청북도 진천군 덕산읍,1,701201,비주거용 건물 임대업(점포  자기땅),518,149404140,31,13
(주)에넥스,1,서울특별시 서초구 서초동,1,361001,금속 가구 제조업,150,50909420,0,5
부광약품(주),1,서울특별시 동작구 대방동,1,242301,완제 의약품 제조업,628,209710640,12,5
사단법인 KOTITI 시험연구원,1,경기도 성남시 중원구 상대원동,1, ,,347,103641380,7,3
송파상운주식회사,1,서울특별시 송파구 마천동,1,602204,시내버스 운송업 / 시외버스 운송업,236,85117080,4,3
한국가스안전공사,1,충청북도 음성군 맹동면,1,742104,기타 엔지니어링 서비스업,1926,634497340,386,26
(주) 삼안,1,경기도 과천시 별양동,1,742104,기타 엔지니어링 서비스업,933,348046820,21,12
(주)세스코,1,서울특별시 강동구 상일동,1,749300,건축물 일반 청소업,3008,828460900,51,38
한국야구위원회(사),1,서울특별시 강남구 도곡동,1,749901,문서 작성업,107,39961300,1,0
(주)유성티엔에스,1,서울특별시 서초구 서초동,1,602302,일반 화물 자동차 운송업,412,147015800,3,6
동화청과(주),1,서울특별시 송파구 가락동,1,749928,,102,33325120,12,23
전원산업（주）르메르디앙서울호텔,1,서울특별시 강남구 역삼동,1,551001,호텔업,204,52830420,72,13
재영솔루텍(주),1,인천광역시 연수구 송도동,1,292903,주형 및 금형 제조업,125,39932020,0,23
주식회사 유도,1,경기도 화성시 팔탄면,1,289102,금속 단조제품 제조업,346,124182360,0,3
KH에너지 주식회사,1,서울특별시 강서구 공항동,1,514121,액체 연료 및 관련제품 도매업,123,33025800,0,1
서울축산업협동조합,1,서울특별시 강서구 등촌동,1,153300,배합 사료 제조업,382,150509940,2,3
대웅(주),1,경기도 성남시 중원구 상대원동,1,242301,완제 의약품 제조업,315,111240700,0,9
세풍운수(주),1,서울특별시 양천구 신정동,1,602103,시내버스 운송업,241,87558620,0,1
(주)한국종합기술,1,서울특별시 광진구 구의동,1,742104,기타 엔지니어링 서비스업,1160,444087040,29,24
일성신약(주),1,서울특별시 용산구 원효로1가,1,242301,완제 의약품 제조업,223,60908140,1,1
삼일제약(주),1,서울특별시 서초구 방배동,1,242301,완제 의약품 제조업,424,145597840,5,8
한국증권금융(주),1,서울특별시 영등포구 여의도동,1,671201,그 외 기타 금융 지원 서비스업,377,160702920,1,3
(주)풍산에프앤에스,1,충청남도 논산시 은진면,1,292700,무기 및 총포탄 제조업,124,48410640,0,1
(주)아이비에스인더스트리,1,서울특별시 강남구 역삼동,1,749300,건축물 일반 청소업,3392,693110440,136,266
(주)코리아퍼스텍,1,서울특별시 강서구 화곡동,1,940909,기타자영업,174,29836440,8,8
(주)이가에이씨엠건축사사무소,1,경상북도 경산시 옥산동,1,742103,건축 설계 및 관련 서비스업,210,64491500,1,5
(주)신세계센트럴시티,1,서울특별시 서초구 반포동,1,630302,여객 자동차 터미널 운영업,111,39379920,1,0
(주)도화엔지니어링,1,서울특별시 강남구 대치동,1,742104,기타 엔지니어링 서비스업,1934,715679300,32,21
삼호개발(주),1,충청남도 당진시 면천면,1,452101,미장  타일 및 방수 공사업,310,109250280,1,10
서울버스(주),1,서울특별시 송파구 장지동,1,602103,시내버스 운송업,234,81567180,0,3
(주)세방테크,1,서울특별시 송파구 문정동,1,322002,유선 통신장비 제조업,150,48774780,2,2
보림로지스틱스(주),1,경기도 성남시 분당구 서현동,1,552305,간이 음식 포장 판매 전문점,242,67423740,2,8
(주)글락소스미스클라인,1,서울특별시 용산구 한강로2가,1,242301,완제 의약품 제조업,412,177901240,3,2
주식회사 조흥,1,경기도 안산시 단원구 성곡동,1,519111,상품 종합 도매업,256,80120900,8,2
한국교직원공제회,1,서울특별시 영등포구 여의도동,1,672000,보험 대리 및 중개업,518,210922680,1,7
(주)코스콤,1,서울특별시 영등포구 여의도동,1,723000,자료 처리업,738,318567620,1,2
보영운수(주),1,서울특별시 금천구 가산동,1,602103,시내버스 운송업,148,49838460,0,4
신신제약(주),1,세종특별자치시   소정면,1,242301,완제 의약품 제조업,294,91398520,31,7
(주)유풍,1,서울특별시 구로구 구로동,1,181202,모자 제조업,298,107853520,0,2
한국베링거인겔하임(주),1,서울특별시 중구 남대문로5가,1,242301,완제 의약품 제조업,169,69189560,5,5
한국교통안전공단,1,경상북도 김천시 율곡동,1,630309,기타 육상 운송지원 서비스업,1851,623216120,29,36
동해운수(주),1,서울특별시 종로구 혜화동,1,602103,시내버스 운송업,180,62560840,2,1
동진콜택시(주),1,서울특별시 구로구 온수동,1,602201,택시 운송업,104,13980800,7,8
의료법인 인봉의료재단 영등포병원,1,서울특별시 영등포구 당산동3가,1,851101,요양병원,126,29568500,7,11
(주)제이앤비컨설팅,1,서울특별시 영등포구 문래동3가,1,749100,고용 알선업,1673,279542780,102,102
(주) 에스와이에스리테일,1,서울특별시 용산구 한강로3가,1,513221,가전제품 및 부품 도매업,882,292834740,10,14
(주)대교산업,1,서울특별시 영등포구 여의도동,1,749300,건축물 일반 청소업,452,84190460,9,15
코원에너지서비스(주),1,서울특별시 강남구 대치동,1,402001,연료용 가스 제조 및 배관공급업,363,147197940,1,0
코스맥스바이오(주),1,충청북도 제천시 왕암동,1,154509,기타 식품 첨가물 제조업,327,88380200,15,5
범일운수(주),1,서울특별시 금천구 시흥동,1,602103,시내버스 운송업,460,153571720,8,8
(주)맥서브,1,서울특별시 강남구 대치동,1,702003,비주거용 부동산 관리업,5421,1028170160,170,273
한국노동조합총연맹,1,서울특별시 영등포구 여의도동,1,701201,비주거용 건물 임대업(점포  자기땅),107,31939080,0,1
유진투자증권(주),1,서울특별시 영등포구 여의도동,1,671202,증권 중개업,742,288937980,14,6
아주약품(주),1,서울특별시 구로구 신도림동,1,242301,완제 의약품 제조업,395,135337260,8,12
케이씨씨정보통신주식회사,1,서울특별시 강서구 염창동,1,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,359,108988540,8,4
(주)동구바이오제약,1,서울특별시 송파구 문정동,1,242301,완제 의약품 제조업,310,92454920,4,6
여의도순복음교회,1,서울특별시 영등포구 여의도동,1, ,,631,172566660,1,3
（주）빌텍,1,서울특별시 강남구 삼성동,1,702003,비주거용 부동산 관리업,271,55320680,7,10
(주)케이씨아이,1,경상북도 경산시 정평동,1,742104,기타 엔지니어링 서비스업,159,54753320,10,1
서울특별시농수산식품공사,1,서울특별시 송파구 가락동,1,701201,비주거용 건물 임대업(점포  자기땅),356,129067300,8,2
관악교통(주),1,서울특별시 양천구 신정동,1,602103,시내버스 운송업,151,55190480,0,0
한남여객운수(주),1,서울특별시 관악구 신림동,1,602103,시내버스 운송업,345,124152640,4,3
신영건설(주),1,경기도 성남시 분당구 구미동,1,451101,아파트 건설업,111,42641680,1,5
수협노량진수산주식회사,1,서울특별시 동작구 노량진동,1,511114,음ㆍ식료품 및 담배 중개업,111,42076600,0,0
닐슨컴퍼니코리아 유한회사,1,서울특별시 중구 중림동,1, ,,184,57073800,0,40
다농산업(주),1,서울특별시 송파구 가락동,1,512111,곡물 및 유지작물 도매업,130,33330000,0,1
(주)우진플라임,1,충청북도 보은군 장안면,1,292901,산업용 로봇 제조업,550,157979440,3,11
주식회사솔트룩스,1,서울특별시 강남구 역삼동,1,722000,응용 소프트웨어 개발 및 공급업,145,44552800,3,4
삼화고속(주),1,인천광역시 중구 신흥동3가,1,602101,시외버스 운송업,199,63735340,0,2
(주)경향신문사,1,서울특별시 중구 정동,1,221200,잡지 및 정기 간행물 발행업,501,188072120,2,5
(주)제이에스코퍼레이션,1,서울특별시 강남구 일원동,1,191200,가방 및 기타 보호용 케이스 제조업,129,39122920,0,1
리탠다드 주식회사,1,서울특별시 구로구 구로동,1,172101,침구 및 관련제품 제조업,109,26646060,2,4
보성운수(주),1,서울특별시 구로구 구로동,1,602103,시내버스 운송업,215,76167580,1,3
대원강업(주),1,충청남도 천안시 서북구 성거읍,1,343000,그 외 자동차용 신품 부품 제조업,138,58239380,1,1
주식회사 에스피씨삼립,1,경기도 시흥시 정왕동,1,154101,떡류 제조업,2081,602433440,7,58
디케이에스에이치코리아(주),1,서울특별시 강남구 도곡동,1,519111,상품 종합 도매업,258,74685700,3,4
천주교서울대교구유지재단카톨릭출(재),1,서울특별시 중구 중림동,1,221200,잡지 및 정기 간행물 발행업,119,27456580,1,4
삼양통상(주),1,서울특별시 강남구 역삼동,1,519111,상품 종합 도매업,225,72192660,2,6
성신양회(주),1,서울특별시 종로구 인사동,1,269401,시멘트 제조업,598,237684100,1,4
서울도시가스(주),1,서울특별시 강서구 염창동,1,402001,연료용 가스 제조 및 배관공급업,503,212777060,2,0
한미테크윈(주),1,경기도 시흥시 정왕동,1,312000,배전반 및 전기 자동제어반 제조업,114,38140740,0,2
애경화학(주),1,서울특별시 구로구 구로동,1,241302,합성수지 및 기타 플라스틱 물질 제조업,103,37791960,1,3
율촌화학(주) 연포장공장,1,경기도 안산시 단원구 원시동,1,252400,플라스틱 창호 제조업,809,326062820,3,2
대주코레스 주식회사,1,전라북도 완주군 봉동읍,1,343000,그 외 자동차용 신품 부품 제조업,206,67873040,4,2
인아오리엔탈모터(주),1,인천광역시 남동구 고잔동,1,311002,전동기 및 발전기 제조업,106,36359960,0,0
애경산업(주),1,서울특별시 마포구 동교동,1,242402,치약  비누 및 기타 세제 제조업,415,146346560,6,3
(주)쉰들러엘리베이터,1,경기도 시흥시 정왕동,1,291502,기타 물품 취급장비 제조업,346,111963440,4,2
한국법제연구원,1,세종특별자치시   반곡동,1,221100,일반 서적 출판업,135,44509520,0,5
한국화이자제약(주),1,서울특별시 중구 회현동3가,1,519111,상품 종합 도매업,398,163067020,5,4
익수제약(주),1,경기도 광주시 곤지암읍,1,242301,완제 의약품 제조업,108,27394440,0,0
대성산업가스(주),1,서울특별시 구로구 신도림동,1,241101,산업용 가스 제조업,581,241237140,1,0
삼영화학공업(주),1,서울특별시 종로구 서린동,1,252103,플라스틱 합성피혁 제조업,171,49986820,0,2
(주)도루코,1,경기도 용인시 처인구 고림동,1,293002,기타 가정용 전기 기기 제조업,317,125665180,0,5
레이캅코리아 주식회사,1,인천광역시 남동구 고잔동,1,289901,금속선 가공제품 제조업,161,41060260,0,3
의료법인희명의료재단,1,서울특별시 금천구 시흥동,1,851101,요양병원,366,97545500,11,21
（주)서연탑메탈,1,인천광역시 남동구 고잔동,1,292903,주형 및 금형 제조업,210,79050380,1,0
교세라커넥터프로덕츠코리아(주),1,경기도 안산시 단원구 원시동,1,323001,비디오 및 기타 영상 기기 제조업,131,47171340,0,1
주식회사 와이비엠,1,서울특별시 종로구 종로2가,1,940903,학원강사 강사 과외교습자 재단사,356,97714780,12,5
주식회사한은이엔씨,1,서울특별시 강남구 역삼동,1,452104,배관 및 냉ㆍ난방 공사업,113,36268120,6,6
(주)모닝글로리,1,경기도 화성시 향남읍,1,210901,문구용 종이제품 제조업,249,60102200,3,5
(주)케이씨티시,1,서울특별시 중구 소공동,1,602305,일반 화물 자동차 운송업,213,72193280,1,2
한국석유관리원,1,경기도 성남시 분당구 백현동,1,742201,기타 기술 시험  검사 및 분석업,380,130807540,0,2
